Name:	pitzer_parameters_activity				
Description:	"Beta0, Beta1, Beta2, and Cphi parameters for calculating activity and osmotic coefficients according to the Pitzer ion interaction model"				
Unit:	None				
Reference:	"May, P. M., Rowland, D., Hefter, G., & Kanigsberger, E. (2011).   A Generic and Updatable Pitzer Characterization of Aqueous Binary Electrolyte Solutions at 1 bar and 25C. Journal of Chemical & Engineering Data, 56(12), 5066-5077. doi:10.1021/je2009329"				
Temperature:	25 degC				
Pressure:	1 atm				
Ionic Strength:					
Uncertainty:					
Uncertainty Type:					
Comment:	Copyright 2011 American Chemical Society. Used with permission.				
					
Key:	Beta0	Beta1	Beta2	Cphi	Max_C
Al2(SO4)3	0.822	21.12	-4813	-0.0799	1.1
NH4Br	0.05921	0.2153	0	-0.00379	7.5
NH4Cl	0.05094	0.2068	0	-0.00285	7.405
(NH4)2HPO4	-0.04263	-0.6787	0	0.005162	3.107
NH4I	0.05671	0.2893	0	-0.00311	7.5
NH4NO3	-0.01709	0.09198	0	0.000419	20
NH4ClO4	0.005579	-0.1015	0	-0.00635	2.1
(NH4)2SO4	0.04211	0.582	0	-0.00134	5.5
Ba(CH3COO)2	0.2437	1.093	0	-0.03794	3.5
BaBr2	0.316	1.529	0	-0.01638	2.321
BaCl2	0.2891	1.217	0	-0.02987	1.8
BaI2	0.4008	1.881	0	-0.00843	2
Ba(NO3)2	-0.06464	0.8598	0	0.04046	0.4
Ba(ClO4)2	0.3309	1.729	0	-0.01883	3.5
BeSO4	0.3162	2.867	-58.93	0.006172	4
Cd(NO3)2	0.2833	1.665	0	-0.02426	3
Cd(NO2)2	-0.02389	-1.511	0	0.007885	5
Cd(ClO4)2	0.3796	2.113	0	0.02515	1.928
CdSO4	0.2072	2.564	-45.05	0.01071	3.5
CsCH3COO	0.1674	0.3399	0	-0.00671	3.5
CsBr	0.02187	0.07237	0	0.001244	5
CsCl	0.03745	0.02709	0	-0.00103	11
CsF	0.1237	0.324	0	-0.00305	3.5
CsOH	0.1277	0.4146	0	0.00615	5
CsI	0.02164	0.04627	0	-0.00287	3
CsNO3	-0.1024	0.01885	0	0.0133	1.5
CsNO2	0.03058	0.1855	0	-0.00233	7
Cs2SO4	0.1009	0.9094	0	-0.0087	4
CaBr2	0.3409	1.928	0	0.01034	6
CaCl2	0.31	1.618	0	-0.00125	5
CaI2	0.4301	1.878	0	0.001749	2
Ca(NO3)2	0.1683	1.65	0	-0.00687	6
Ca(ClO4)2	0.4638	1.716	0	-0.00706	6
CeCl3	0.6005	4.91	0	-0.02619	2
CrCl3	0.7592	4.752	0	-0.05713	1.2
Cr(NO3)3	0.7161	4.631	0	-0.06384	1.4
CoBr2	0.4667	1.424	0	-0.01411	5
CoCl2	0.3765	1.416	0	-0.01886	4
CoI2	0.5162	1.737	0	-0.00166	4
Co(NO3)2	0.3103	1.673	0	-0.00736	5
CuCl2	0.277	1.496	0	-0.02806	3.75
Cu(NO3)2	0.281	1.683	0	-0.00845	7.84
CuSO4	0.2281	2.505	-50.28	0.005787	1.42
EuCl3	0.6048	5.322	0	-0.01999	3.584
Eu(NO3)3	0.4777	4.706	0	-0.04847	2
GdCl3	0.6129	5.359	0	-0.0197	3.59
HI	0.2242	0.4685	0	0.004286	7
HBr	0.2093	0.3401	0	0.001364	6
HCl	0.1876	0.2501	0	-0.00154	10.5
FeCl2	0.3516	1.432	0	-0.0156	2.05
FeCl3	0.5516	5.488	0	-0.06453	1.8
LaCl3	0.593	5.277	0	-0.02434	3.894
La(NO3)3	0.4915	4.99	0	-0.0747	1.555
Pb(NO3)2	-0.0058	-0.1669	0	-0.00522	2
Pb(ClO4)2	0.3328	1.658	0	-0.00885	12.58
LiCH3COO	0.1081	0.257	0	-0.0042	4
LiBr	0.1842	0.2363	0	0.003333	11
LiCl	0.1516	0.2975	0	0.003227	8.5
LiOH	0.04217	-0.08799	0	-0.00065	5
LiI	0.1903	0.478	0	0.00554	3
LiNO3	0.1343	0.3339	0	-0.00433	14
LiNO2	0.1283	0.382	0	-0.00447	9
LiClO4	0.1966	0.4182	0	0.000636	4.5
Li2SO4	0.1408	1.184	0	-0.0051	3.165
Mg(CH3COO)2	0.21	0.9347	0	-0.01332	4
MgBr2	0.4368	1.73	0	0.002432	5.61
MgCl2	0.3553	1.644	0	0.005098	5.925
MgI2	0.4944	1.834	0	0.00733	5.01
Mg(NO3)2	0.3405	1.672	0	-0.00901	4
Mg(ClO4)2	0.4956	2.097	0	0.009471	4
MgSO4	0.2153	3.29	-40.15	0.02794	3.618
MnCl2	0.3268	1.524	0	-0.02109	5
MnSO4	0.2139	2.875	-52.32	0.01497	4.966
NdCl3	0.5877	5.206	0	-0.01969	2.4
Nd(NO3)3	0.4434	4.915	0	-0.04366	2.4
NiCl2	0.3692	1.441	0	-0.01109	4
Ni(NO3)2	0.315	2.195	0	-0.0049	5.51
NiSO4	0.1594	2.944	-50.94	0.04078	2.5
HNO3	0.111	0.3805	0	-0.00424	11
HClO4	0.1813	0.276	0	0.006718	8
KCH3COO	0.1556	0.3328	0	-0.00533	3.5
KHCO3	-0.01558	0.07556	0	-0.00469	1
KBrO3	-0.1132	0.2284	0	-0.01456	0.5
KBr	0.05517	0.2361	0	-0.00148	5.5
K2CO3	0.1305	1.606	0	0.00024	8.102
KClO3	-0.09346	0.2435	0	-0.00176	0.7
KCl	0.04874	0.2215	0	-0.00098	5
KCrO4	0.0758	1.177	0	-0.00079	3.5
KH2PO4	-0.1231	0.09124	0	0.02453	1.8
K3(Fe(CN)6)	0.3531	3.903	0	-0.05288	1.4
K4(Fe(CN)6)	0.6452	8.844	0	-0.1768	0.9
KF	0.08286	0.2004	0	0.000505	10
K2HPO4	0.043	1.147	0	0.001486	7
KOH	0.1611	0.137	0	-0.00138	14
KI	0.06468	0.3112	0	-0.00213	8.98
KNO3	-0.07733	0.04925	0	0.005547	3.8
KNO2	0.01526	0.007462	0	-0.00078	5
K3PO4	0.3422	5.452	0	-0.09154	0.7
K2SO4	0.07424	0.5188	0	-0.01057	2
KSCN	0.04159	0.2291	0	-0.00254	5
PrCl3	0.5879	5.448	0	-0.02067	3.897
RbCH3COO	0.1626	0.3277	0	-0.00545	3.5
RbBr	0.03923	0.1542	0	-0.00133	5
RbCl	0.04469	0.1443	0	-0.00135	7.8
RbF	0.1171	0.2809	0	-0.01152	3.5
RbOH	0.1404	0.2992	0	0.003028	6
RbI	0.03964	0.1484	0	-0.00171	5
RbNO3	-0.08139	0.001116	0	0.005955	4.5
RbNO2	0.01726	-0.08644	0	-0.00168	7
Rb2SO4	0.0832	0.8527	0	-0.00918	1.8
SmCl3	0.5978	5.279	0	-0.01992	3.641
ScCl3	0.6682	5.921	0	-0.01982	1.9
AgNO3	-0.07923	0.008339	0	0.004516	9
NaCH3COO	0.1382	0.3317	0	-0.00496	4.5
NaHCO3	-0.05876	0.5535	0	0.008285	1.3
NaBrO3	-0.02574	0.2161	0	0.00756	2.617
NaBr	0.1083	0.239	0	-0.00104	9
Na2CO3	0.04625	1.264	0	0.002943	3.115
NaClO4	0.0185	0.286	0	0.002029	3.5
NaCl	0.07831	0.2677	0	0.000864	6.148
NaCrO4	0.06437	1.544	0	0.009028	4.363
NaH2PO4	-0.05135	0.05496	0	0.007441	6.5
NaF	0.02109	0.2183	0	-0.001	1
NaHCO2	0.07486	0.3067	0	-0.00327	3.5
Na2HPO4	-0.02266	1.249	0	0.00752	2
NaOH	0.09226	0.2424	0	0.003343	11.5
NaI	0.1261	0.317	0	0.00026	9
NaNO3	0.003614	0.2062	0	-0.0000518	10.75
NaNO2	0.05978	0.144	0	-0.00422	8
NaClO4	0.05422	0.2861	0	-0.00098	6
Na3PO4	0.139	5.419	0	-0.04454	0.8
NaC3H5O2	0.1799	0.3169	0	-0.01051	3
Na2SO4	0.01959	1.049	0	0.005416	5
NaSCN	0.1048	0.3242	0	-0.0018	12
Na2S2O3	0.06306	1.254	0	0.004673	4
SrBr2	0.32	1.846	0	0.004825	2.1
SrCl2	0.2841	1.543	0	-0.00113	4.038
SrI2	0.3889	2.001	0	0.006908	2
Sr(NO3)2	0.1022	1.54	0	-0.00732	4
Sr(ClO4)2	0.4401	1.456	0	-0.01511	6
Tl(CH3COO)3	0.005551	0.04775	0	-0.00085	6
Tl(NO3)3	-0.1307	-0.2724	0	-0.00029	0.4
Tl(NO2)3	-0.6455	-0.1248	0	0.3749	1.4
Tl(ClO4)3	-0.09359	0.03334	0	-0.01895	0.5
Th(NO3)4	0.8219	17.68	0	-0.1081	1.4
UO2Cl2	0.4116	1.663	0	-0.03029	3.174
UO2(NO3)2	0.4735	1.539	0	-0.03665	2.75
UO2(ClO4)2	0.6563	1.903	0	0.008736	4
UO2SO4	0.3168	1.861	-29.69	-0.01658	6
YCl3	0.6248	5.66	0	-0.01563	4.084
YNO3	0.6582	4.58	0	-0.1023	1.2
ZnBr2	0.4122	1.926	0	-0.08267	2
ZnCl2	0.1872	1.766	0	-0.03625	2.101
ZnI2	0.526	2.317	0	-0.08623	2.75
Zn(NO3)2	0.3248	1.864	0	-0.00827	7.103
Zn(ClO4)2	0.5197	1.731	0	0.008201	4.311
ZnSO4	0.1991	2.63	-37.74	0.02892	3.5
